Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,CD_Number,Region,Compatible_Peripherals,Hardware_Identifier,Marker_ID
Earthworm Jim 2 (USA),EARTHWORM JIM 2                                 EARTHWORM JIM 2,T-13203H,V1.000,19960318,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-132
Eberouge (Japan) (Disc 1) (1M),EBEROUGE,T-10309G,V1.005,19970414,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-103
Eberouge (Japan) (Disc 2),EBEROUGE,T-10309G,V1.005,19970414,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-103
Eberouge Special - Koi to Mahou no Gakuen Seikatsu (Japan),EBEROUGE SPECIAL,T-10315G,V1.003,19980422,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-103
EGWord (Japan) (1M),EGWORD,T-7626G,V1.001,19961024,CD-1/1,J,JFK,SEGA SEGASATURN,SEGA TP T-76
EGWord (Japan) (Rev A) (10M),EGWORD,T-7626G,V1.021,19970227,CD-1/1,J,JFK,SEGA SEGASATURN,SEGA TP T-76
EGWord Ver 2.00 (Japan),EGWORD,T-7641G,V2.000,19970619,CD-1/1,J,JFKHU,SEGA SEGASATURN,SEGA TP T-76
Eisei Meijin (Japan) (2M),EISEI-MEIJIN,T-9506G,V2.000,19950823,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-95
Eisei Meijin II (Japan),EISEIMEIJIN2,T-9516G,V2.020,19961108,CD-1/1,JT,JM,SEGA SEGASATURN,SEGA TP T-95
Eiyuu Shigan - Gal Act Heroism (Japan),GAL ACT HEROISM,T-5204G,V1.001,19980205,CD-1/1,J,FJ,SEGA SEGASATURN,SEGA TP T-52
Elevator Action^2 - Returns (Japan),ELEVATOR ACTION RETURNS,T-19903G,V1.002,19961227,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-199
Elf o Karu Monotachi (Japan) (Disc 1),THOSE WHO HUNT ELVES,T-16605G,V1.001,19970317,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-166
Elf o Karu Monotachi (Japan) (Disc 2) (Omake Disc),THOSE WHO HUNT ELVES OMAKE DISC,T-16605G,V1.001,19970317,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-166
Elf o Karu Monotachi - Hanafuda-hen (Japan),ERUFU O KARUMONOTATI HANAFUDAHEN,T-16606G,V1.000,19970703,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-166
Elf o Karu Monotachi II (Japan) (Disc 1),ELVES-2,T-16610G,V1.003,19980613,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-166
Elf o Karu Monotachi II (Japan) (Disc 2) (Omake Disc),ELVES-2,T-16610G,V1.004,19980617,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-166
Emit Vol. 1 - Toki no Maigo (Japan),EMIT Vol1       Lost in time,T-7602G,V1.200,19950305,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-76
Emit Vol. 2 - Inochigake no Tabi (Japan) (Rev A),EMIT Vol2       A life-and-death trip,T-7603G,V1.000,19950307,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-76
Emit Vol. 3 - Watashi ni Sayonara o (Japan) (Rev A),EMIT Vol3       Bid myself farewell,T-7604G,V1.000,19950308,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-76
Enemy Zero (Europe) (Disc 0) (Opening Disc),ENEMY ZERO,MK-81076,V1.001,19971021,CD-1/4,E,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (Europe) (Disc 1) (Game Disc),ENEMY ZERO,MK-81076,V1.001,19971021,CD-2/4,E,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (Europe) (Disc 2) (Game Disc),ENEMY ZERO,MK-81076,V1.001,19971021,CD-3/4,E,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (Europe) (Disc 3) (Game Disc),ENEMY ZERO,MK-81076,V1.001,19971021,CD-4/4,E,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (Japan) (Disc 0) (Opening Disc),ENEMY ZERO,T-30001G,V1.000,19961124,CD-1/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 0) (Opening Disc) (1M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-1/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 0) (Opening Disc) (2M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-1/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 0) (Opening Disc) (Satakore),ENEMY ZERO,T-30004G,V1.000,19971017,CD-1/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 1) (Game Disc),ENEMY ZERO,T-30001G,V1.000,19961124,CD-2/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 1) (Game Disc) (1M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-2/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 1) (Game Disc) (2M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-2/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 1) (Game Disc) (Satakore),ENEMY ZERO,T-30004G,V1.000,19971017,CD-2/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 2) (Game Disc),ENEMY ZERO,T-30001G,V1.000,19961124,CD-3/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 2) (Game Disc) (1M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-3/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 2) (Game Disc) (2M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-3/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 2) (Game Disc) (Satakore),ENEMY ZERO,T-30004G,V1.000,19971017,CD-3/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 3) (Game Disc),ENEMY ZERO,T-30001G,V1.000,19961124,CD-4/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
"Enemy Zero (Japan) (Disc 3) (Game Disc) (1M, 4M)",ENEMY ZERO,T-30001G,V1.000,19961124,CD-4/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 3) (Game Disc) (3M),ENEMY ZERO,T-30001G,V1.000,19961124,CD-4/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (Japan) (Disc 3) (Game Disc) (Satakore),ENEMY ZERO,T-30004G,V1.000,19971017,CD-4/4,J,JE,SEGA SEGASATURN,SEGA TP T-300
Enemy Zero (USA) (Disc 0),ENEMY ZERO,MK-81076,V1.001,19971021,CD-1/4,JTU,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (USA) (Disc 1),ENEMY ZERO,MK-81076,V1.001,19971021,CD-2/4,JTU,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (USA) (Disc 2),ENEMY ZERO,MK-81076,V1.001,19971021,CD-3/4,JTU,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Enemy Zero (USA) (Disc 3),ENEMY ZERO,MK-81076,V1.001,19971021,CD-4/4,JTU,JE,SEGA SEGASATURN,SEGA ENTERPRISES
Eternal Melody (Japan),ETERNALMELODY,T-27802G,V1.002,19960826,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-278
Eternal Melody (Japan) (Rev A),ETERNALMELODY,T-27802G,V2.000,19961028,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-278
Etude Prologue - Yureugoku Kokoro no Katachi (Japan),ETUDE PROLOGUE,T-37901G,V1.120,19981026,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-379
Eve - Burst Error (Japan) (Disc 1) (Kojiroh Disc),EVE burst error,T-15022G,V1.000,19961215,CD-1/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - Burst Error (Japan) (Disc 2) (Marina Disc),EVE burst error,T-15022G,V1.000,19961215,CD-2/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - Burst Error (Japan) (Disc 3) (Terror Disc),EVE burst error,T-15022G,V1.001,19961219,CD-3/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - Burst Error (Japan) (Disc 4) (Making Disc),EVE burst error,T-15022G,V1.000,19961213,CD-4/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Demo),EVE THE LOST ONE TAIKEN BAN,6106837,V1.000,19980128,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Disc 1) (Kyoko Disc) (1M),EVE THE LOST ONE,T-15035G,V1.000,19980203,CD-1/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Disc 2) (Snake Disc) (2M),EVE THE LOST ONE,T-15035G,V1.000,19980203,CD-2/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Disc 3) (Lost One Disc) (1M),EVE THE LOST ONE,T-15035G,V1.000,19980203,CD-3/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Disc 3) (Lost One Disc) (2M),EVE THE LOST ONE,T-15035G,V1.000,19980203,CD-3/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Disc 4) (Extra Disc) (1M),EVE THE LOST ONE,T-15035G,V1.000,19980203,CD-4/4,J,J,SEGA SEGASATURN,SEGA TP T-150
Eve - The Lost One (Japan) (Disc 4) (Extra Disc) (2M),EVE THE LOST ONE,T-15035G,V1.000,19980203,CD-4/4,J,J,SEGA SEGASATURN,SEGA TP T-150
"Exhumed (Europe) (En,Fr,De,Es)",EXHUMED,MK-81084,V1.000,19960726,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Eyeful Home (Japan),OREGON AND BASIC,GS-9083,V1.000,19951211,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
F-1 Challenge (Europe),F1 Challenge,MK-81206,V0.950,19951227,CD-1/1,E,JS,SEGA SEGASATURN,SEGA ENTERPRISES
F-1 Live Information (Japan),F1LiveInformation,GS-9035,V1.009,19951009,CD-1/1,JT,JS,SEGA SEGASATURN,SEGA ENTERPRISES
F1 Challenge (USA),F1 Challenge,MK-81206,V1.000,19960124,CD-1/1,U,JS,SEGA SEGASATURN,SEGA ENTERPRISES
Falcom Classics (Japan) (Disc 1) (Game Disc),FALCOM CLASSICS,T-31503G,V1.015,19970913,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-315
Falcom Classics (Japan) (Disc 2) (Special CD),FALCOM CLASSICS,T-31503G,V1.007,19971006,CD-2/2,J,JP,SEGA SEGASATURN,SEGA TP T-315
Falcom Classics II (Japan),FALCOM CLASSICS2,T-31505G,V1.004,19980919,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-315
Falcom Classics II (Japan) (Genteiban),FALCOM CLASSICS2,T-31504G,V1.004,19980919,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-315
Fantastep (Japan),FANTA STEP,T-5710G,V1.002,19970306,CD-1/1,J,JE,SEGA SEGASATURN,SEGA TP T-57
Farland Saga (Japan),FARLANDSAGA,T-32507G,V1.060,19971205,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-325
Farland Saga - Toki no Michishirube (Japan),FARLANDSAGA2,T-32511G,V1.000,19981104,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-325
Farland Story - Habou no Mai (Japan),FARLAND STORY   HABOU NO MAI,T-32505G,V1.002,19970205,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-325
Farland Story - Habou no Mai (Japan) (Demo),FARLAND STORY   HABOU NO MAI    TAIKENBAN,610-6471,V1.000,19960108,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-325
Father Christmas (Japan),FATHER CHRISTMAS,T-18504G,V1.000,19951008,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-185
FEDA Remake! The Emblem of Justice (Japan),FEDA REMAKE,T-21001G,V1.003,19960324,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-210
"FIFA - Die WM-Qualifikation 98 (Germany) (En,Fr,De,Es,It,Nl,Sv)",FIFA - ROAD TO  WORLD CUP 98,T-5025H-50,V1.000,19971128,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP 69
"FIFA - En Route pour la Coupe du Monde 98 (France) (En,Fr,De,Es,It,Nl,Sv)",FIFA - ROAD TO  WORLD CUP 98,T-5025H-50,V1.000,19971128,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP 69
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)",FIFA - ROAD TO  WORLD CUP 98,T-5025H-50,V1.000,19971128,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP 69
"FIFA - Road to World Cup 98 (Italy) (En,Fr,De,Es,It,Nl,Sv)",FIFA - ROAD TO  WORLD CUP 98,T-5025H-50,V1.000,19971128,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP 69
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)",FIFA - ROAD TO  WORLD CUP 98,T-5025H,V1.000,19971128,CD-1/1,U,JT,SEGA SEGASATURN,SEGA TP 69
"FIFA - Rumbo al Mundial 98 (Spain) (En,Fr,De,Es,It,Nl,Sv)",FIFA - ROAD TO  WORLD CUP 98,T-5025H-50,V1.000,19971128,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP 69
"FIFA 97 (Europe) (En,Fr,De,Es,It,Sv)",FIFA 97,T-5017H,V1.000,19970216,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP 69
"FIFA 97 (France) (En,Fr,De,Es,It,Sv)",FIFA 97,T-5017H,V1.000,19970216,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP 69
"FIFA 97 (Germany) (En,Fr,De,Es,It,Sv)",FIFA 97,T-5017H,V1.000,19970216,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP 69
"FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)",FIFA SOCCER '96,T-5003H,V1.000,19951201,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-500
FIFA Soccer 96 (Japan),FIFA 96 SOCCER,T-10606G,V1.000,19960130,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-106
"FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv)",FIFA SOCCER '96,T-5003H,V1.000,19951201,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-500
"FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv)",FIFA 97,T-5017H,V1.001,19970228,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-50
Fighter's History Dynamite (Japan),FIGHTERS HISTORY DYNAMITE,GS-9107,V1.001,19970510,CD-1/1,JT,JW,SEGA SEGASATURN,SEGA ENTERPRISES
Fighters Megamix (Europe),FIGHTERS MEGAMIX,MK-81073,V1.002,19970407,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighters Megamix (Japan),FIGHTERS MEGAMIX,GS-9126,V1.001,19961209,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighters Megamix (Japan) (1M),FIGHTERS MEGAMIX,GS-9126,V1.001,19961209,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighters Megamix (Japan) (2M),FIGHTERS MEGAMIX,GS-9126,V1.001,19961209,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighters Megamix (USA),FIGHTERS MEGAMIX,MK-81073,V1.004,19970411,CD-1/1,U,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighters Megamix (USA) (RE),FIGHTERS MEGAMIX,MK-81073,V1.004,19970418,CD-1/1,U,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighting Vipers (Europe),FIGHTING VIPERS,MK-81041,V1.000,19960920,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighting Vipers (Japan) (Demo),VIRTUA FIGHTER,GS-9001,V1.000,19941005,CD-1/1,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighting Vipers (Japan) (Rev A),FIGHTING VIPERS,GS-9101,V1.010,19960818,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighting Vipers (Japan) (Rev C),FIGHTING VIPERS,GS-9101,V1.013,19960918,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Fighting Vipers (Korea),FIGHTING VIPERS,MK-81041,V1.002,19960917,CD-1/1,TJ,J,SEGA SEGASATURN,SEGA ENTERPRISES
"Fighting Vipers (USA) (5S, 6S)",FIGHTING VIPERS,MK-81041,V2.000,19961011,CD-1/1,U,J,SEGA SEGASATURN,SEGA ENTERPRISES
Final Fight Revenge (Japan),FINAL FIGHT REVENGE,T-1248G,V1.004,20000208,CD-1/1,J,JW,SEGA SEGASATURN,SEGA TP T-12
Find Love 2 - Rhapsody (Japan) (Disc 1),FINDLOVE2,T-34605G,V1.008,19981015,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-346
Find Love 2 - Rhapsody (Japan) (Disc 2),FINDLOVE2,T-34605G,V1.008,19981015,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-346
Find Love 2 - The Prologue (Japan),FINDLOVE PROLOGUE,T-34604G,V1.006,19980410,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-346
Fire Pro Gaiden Blazing Tornado (Japan),SS BLAZING TORNAOD,T-4302G,V1.005,19950719,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-43
Fire Pro Gaiden Blazing Tornado (Japan) (Demo),SS BLAZING TORNAOD,T-4302G,V1.002,19950712,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-43
Fire Prowrestling S - 6Men Scramble (Japan) (1M),FIRE PROWRESTLING S 6MEN SCRAMBLE,T-4308G,V1.005,19961125,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-43
Fire Prowrestling S - 6Men Scramble (Japan) (2M),FIRE PROWRESTLING S 6MEN SCRAMBLE,T-4308G,V1.005,19961125,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-43
"Firestorm - Thunderhawk 2 (Europe) (En,Fr)",E:FIRESTORM THUNDERHAWK 2  J:THUNDERHAWK 2 U:THUNDERSTRIKE 2,T-11501H00,V1.000,19951108,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-115
Firestorm - Thunderhawk 2 (Germany),E:FIRESTORM THUNDERHAWK 2  J:THUNDERHAWK 2 U:THUNDERSTRIKE 2,T-11501H00,V1.000,19951108,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-115
Fishing Koushien (Japan),FISHING KOSHIEN,T-24901G,V1.001,19960119,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-249
Fishing Koushien II (Japan),FISHING KOSHIEN2,T-24904G,V1.000,19970327,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-249
Fist (Japan),FIST,T-15015G,V1.001,19961001,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-150
Flash SegaSaturn - Ochikazuki-hen (Japan),FLASH SATURN SP,610616699,V1.001,19960226,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 1 (Japan) (2M),SAKURA-TAISEN PR,SG0000000,V1.000,19950905,CART16M,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 10 (Japan),FLASH SEGASATURN VOL.10,610616610,V1.001,19960906,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 11 (Japan),FLASH SEGASATURN VOL.11,610616611,V1.001,19961003,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 12 (Japan),FLASH SEGASATURNVOL.12,610616612,V1.001,19951120,CD-1/1,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 13 (Japan),FLASH SEGASATURNVOL.13,610616613,V1.003,19970108,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 14 (Japan),FLASH SEGASATURNVOL.14,610616614,V1.001,19970130,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 15 (Japan),FLASH SEGASATURNVOL.15,610616615,V1.003,19970307,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 16 (Japan),FLASH SEGASATURNVOL.16,610616616,V1.001,19970331,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 17 (Japan),FLASH SEGASATURNVOL.17,610616617,V1.000,19970506,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 18 (Japan),FLASH SEGASATURNVOL.18,610616618,V1.003,19970610,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 19 (Japan),FLASH SEGASATURNVOL.19,610616619,V1.001,19970707,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 2 (Japan) (2M),SAKURA-TAISEN PR,SG0000000,V1.000,19950905,CART16M,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 20 (Japan),FLASH SEGASATURNVOL.20,610616620,V1.000,19970728,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 21 (Japan),FLASH SEGASATURNVOL.21,610616621,V1.001,19970901,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 22 (Japan),FLASH SEGASATURNVOL.22,610616621,V1.000,19971001,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 23 (Japan),FLASH SEGASATURNVOL.23,610616621,V1.001,19971031,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 24 (Japan),FLASH SEGASATURNVOL.24,610616624,V1.000,19971119,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 25 (Japan),FLASH SEGASATURNVOL.25,610616625,V1.001,19980109,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 26 (Japan),FLASH SEGASATURNVOL.26,610616626,V1.000,19980203,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 27 (Japan),FLASH SEGASATURNVOL.27,610616627,V1.001,19980305,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 28 (Japan),FLASH SEGASATURNVOL.28,610616628,V1.003,19980403,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 29 (Japan) (3M),FLASH SEGASATURNVOL.29,610616629,V1.000,19980421,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 3 (Japan),FLASH SATURN 3,610616603,V1.002,19960215,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 30 (Japan),FLASH SEGASATURNVOL.30,610616630,V1.001,19980527,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 31 (Japan),FLASH SEGASATURNVOL.31,610616631,V1.002,19980626,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 32 (Japan),FLASH SEGASATURNVOL.32,610616632,V1.001,19980721,CD-1/1,J,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 4 (Japan),FLASH SEGASATURNVOL.4,610616604,V1.001,19960313,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 5 (Japan),FLASH SEGASATURNVOL.5,610616605,V1.003,19960410,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 6 (Japan),FLASH SEGASATURNVOL.6,610616606,V1.000,19960510,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 7 (Japan),FLASH SEGASATRUN VOL.7,610616607,V1.000,19960607,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 8 (Japan),FLASH SEGASATRUN VOL.8,610616608,V2.000,19960712,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Flash SegaSaturn Vol. 9 (Japan),FLASH SEGASATURN VOL.9,610616609,V1.000,19960730,,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Formula Grand Prix - Team Un'ei Simulation (Japan),FORMULA GRAND PRIX,T-7309G,V1.001,19971008,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-73
"Formula Karts - Special Edition (Europe) (En,Fr,De,Es)",FORMULA KARTS,MK-81282,V1.000,19971007,CD-1/1,E,JAS,SEGA SEGASATURN,SEGA ENTERPRISES
Frank Thomas Big Hurt Baseball (Europe),FRANK THOMAS BIG HURT BASEBALL,T-8138H-50,V1.000,19960519,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP T-81
Frank Thomas Big Hurt Baseball (Japan),FRANK THOMAS BIG HURT BASEBALL,T-8111G,V1.003,19960620,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-81
Frank Thomas Big Hurt Baseball (USA),FRANK THOMAS BIG HURT BASEBALL,T-8138H,V1.000,19960519,CD-1/1,U,JT,SEGA SEGASATURN,SEGA TP T-81
Frankenstein - Through the Eyes of the Monster (Europe),FRANKENSTEIN THROUGH THE EYES OFTHE MONSTER,T-12511H,V1.200,19970611,CD-1/1,E,JAT,SEGA SEGASATURN,SEGA TP T-125
Free Talk Studio - Mari no Kimamana Oshaberi (Japan),FREE TALK STUDIO,T-20504G,V1.003,19970328,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-205
Friends - Seishun no Kagayaki (Japan) (Disc 1) (Game Disc),FRIENDS,T-20109G,V1.003,19990329,CD-1/2,J,JW,SEGA SEGASATURN,SEGA TP T-201
Friends - Seishun no Kagayaki (Japan) (Disc 2) (Special Disc),FRIENDS,T-20109G,V1.003,19990329,CD-2/2,J,JW,SEGA SEGASATURN,SEGA TP T-201
From TV Animation Slam Dunk - I Love Basketball (Japan),SLAM DUNK,T-13301G,V1.000,19950713,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-133
Fully Cowled Mini Yonku - Super Factory (Japan) (Demo),MINI-4WD-SF TAIKENBAN,6106567,V0.200,19970515,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-264
Fully Cowled Mini Yonku - Super Factory (Japan) (Rev A) (10M),MINI-4WD-SF,T-26407G,V1.008,19970626,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-264
Fully Cowled Mini Yonku - Super Factory (Japan) (Rev A) (11M),MINI-4WD-SF,T-26407G,V1.008,19970626,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-264
Funky Fantasy (Japan),FUNKY_FANTASY,T-20002G,V1.004,19961017,CD-1/1,JT,J,SEGA SEGASATURN,SEGA TP T-200
